sgRNA	Gene	D9_rep1_SSEA5_hi	D9_rep1_SSEA5_low	D9_rep2_SSEA5_hi	D9_rep2_SSEA5_low	D9_rep3_SSEA5_hi	D9_rep3_SSEA5_low
EpiKDlib_CTCFL_426	CTCFL	240	171	227	223	282	76
EpiKDlib_CBX8_297	CBX8	282	209	206	364	262	107
EpiKDlib_YWHAB_2147	YWHAB	397	222	297	222	387	108
EpiKDlib_ING1_822	ING1	296	238	333	215	354	82
EpiKDlib_MECP2_1058	MECP2	271	297	242	384	316	83
EpiKDlib_PADI3_1270	PADI3	463	274	320	356	377	104
EpiKDlib_APOBEC1_60	APOBEC1	428	263	343	429	517	143
EpiKDlib_CBX8_296	CBX8	670	243	505	502	514	97
EpiKDlib_UTY_2109	UTY	550	339	454	603	654	176
EpiKDlib_USP46_2100	USP46	238	184	145	218	238	86
EpiKDlib_ZNF592_2204	ZNF592	688	468	549	483	640	184
EpiKDlib_BPTF_208	BPTF	790	466	603	554	893	216
EpiKDlib_KDM4B_932	KDM4B	520	244	408	265	537	108
EpiKDlib_RPS6KA4_1593	RPS6KA4	208	165	159	175	219	100
EpiKDlib_USP15_2076	USP15	832	509	615	512	772	185
EpiKDlib_SS18L2_1823	SS18L2	587	347	330	571	422	224
EpiKDlib_JARID2_864	JARID2	393	215	310	203	474	125
EpiKDlib_RAD54B_1510	RAD54B	501	295	414	354	554	105
EpiKDlib_HDGFRP2_749	HDGFRP2	713	530	464	540	559	185
EpiKDlib_ELP6_563	ELP6	90	52	89	117	89	58
EpiKDlib_TP53BP1_1994	TP53BP1	516	375	522	458	574	251
EpiKDlib_NO-TARGET_1201	NO-TARGET	765	430	729	607	658	220
EpiKDlib_NCOA2_1159	NCOA2	523	215	264	335	282	87
EpiKDlib_RAG2_1522	RAG2	690	408	522	554	697	178
EpiKDlib_PCGF3_1314	PCGF3	412	437	248	553	324	248
EpiKDlib_UBE2E1_2034	UBE2E1	1773	1247	1375	1500	1900	523
EpiKDlib_CDK2_317	CDK2	635	127	515	132	535	38
EpiKDlib_CDYL2_339	CDYL2	857	385	684	476	686	170
EpiKDlib_KDM6B_957	KDM6B	387	459	379	633	342	146
EpiKDlib_SCMH1_1638	SCMH1	68	220	67	247	89	93
EpiKDlib_PHF12_1345	PHF12	171	108	112	107	149	39
EpiKDlib_ATF7IP_139	ATF7IP	178	940	141	961	181	343
EpiKDlib_GATAD1_673	GATAD1	733	114	717	149	747	71
EpiKDlib_UBN1_2046	UBN1	724	429	631	523	655	154
EpiKDlib_TADA1_1871	TADA1	133	798	89	1010	154	363
EpiKDlib_EPC2_576	EPC2	460	170	304	206	368	87
EpiKDlib_BPTF_209	BPTF	454	873	319	714	341	281
EpiKDlib_SETD8_1678	SETD8	471	309	326	350	502	190
EpiKDlib_NEK9_1176	NEK9	443	494	335	644	317	205
EpiKDlib_ATAD2_130	ATAD2	580	248	441	329	523	81
EpiKDlib_NO-TARGET_1229	NO-TARGET	440	208	387	309	505	79
EpiKDlib_TAF9B_1924	TAF9B	625	464	399	421	657	144
EpiKDlib_ZBTB7C_2165	ZBTB7C	910	375	768	694	850	209
EpiKDlib_MPHOSPH8_1086	MPHOSPH8	46	90	102	130	126	28
EpiKDlib_TOP2B_1988	TOP2B	288	165	245	313	374	110
EpiKDlib_ASF1A_108	ASF1A	590	572	567	553	643	228
EpiKDlib_EPC2_577	EPC2	625	121	633	269	631	95
EpiKDlib_APOBEC3D_77	APOBEC3D	401	507	382	636	429	237
EpiKDlib_MSL1_1095	MSL1	215	111	149	167	158	58
EpiKDlib_ZRANB3_2215	ZRANB3	527	522	499	731	547	254
EpiKDlib_BRWD3_259	BRWD3	388	320	262	315	366	145
EpiKDlib_KMT2A_971	KMT2A	872	473	686	502	753	171
EpiKDlib_CHD4_364	CHD4	25	8	27	26	26	5
EpiKDlib_UBR2_2051	UBR2	368	151	365	354	399	122
EpiKDlib_APOBEC3G_83	APOBEC3G	472	241	364	402	419	129
EpiKDlib_RMI1_1572	RMI1	511	204	353	305	491	94
EpiKDlib_BRD2_224	BRD2	390	195	317	249	354	106
EpiKDlib_TAF9B_1923	TAF9B	836	602	624	632	760	263
EpiKDlib_TP53_1990	TP53	1716	707	1194	792	1770	281
EpiKDlib_ATN1_145	ATN1	802	221	574	402	566	113
EpiKDlib_DNMT3B_492	DNMT3B	274	232	216	240	237	63
EpiKDlib_APOBEC1_61	APOBEC1	535	294	464	414	445	123
EpiKDlib_PDP1_1324	PDP1	369	195	230	236	257	135
EpiKDlib_BAZ2A_192	BAZ2A	568	91	528	204	660	37
EpiKDlib_UBE2E1_2035	UBE2E1	914	444	590	563	716	263
