sgRNA	Gene	D9_rep1_SSEA5_hi	D9_rep1_SSEA5_low	D9_rep2_SSEA5_hi	D9_rep2_SSEA5_low	D9_rep3_SSEA5_hi	D9_rep3_SSEA5_low
EpiKDlib_WAC_2121	WAC	444.9300958498753	360.8763829595473	485.9402696012471	430.262031069534	449.59445851374215	342.21399251379455
EpiKDlib_ATR_148	ATR	244.1689550395657	304.31268657090357	270.7026714814443	278.87353865617945	307.0922529626353	300.3604826380067
EpiKDlib_HDAC3_725	HDAC3	144.46663173174304	128.96522776610783	101.82394064898364	173.52131294162277	134.664584245796	135.40841430401943
EpiKDlib_TRIM27_2003	TRIM27	160.06631497038197	345.03854797072705	209.44273970888506	341.7307489564612	149.6273158286622	310.20836731466267
EpiKDlib_BRCC3_218	BRCC3	535.8152068923803	317.887973704178	655.6468373495532	368.290133590383	442.4693482361868	260.9689439313829
EpiKDlib_PCGF1_1308	PCGF1	225.17803631426614	170.8223630937042	157.28901401062512	178.83318986840715	225.86599579850437	214.1914917172671
EpiKDlib_SET_1652	SET	427.97391841657213	70.13898352191829	417.2298055860793	114.20535392586396	376.20582265492214	91.09293325906762
EpiKDlib_PRKCB_1468	PRKCB	288.25501636615394	236.436250904531	216.8932719514936	241.69040016868885	168.86511357806162	224.03937639392305
EpiKDlib_CHD2_360	CHD2	183.12671627967427	35.069491760959146	208.61490279303965	41.609702593144235	255.07894793648128	51.70139455244378
EpiKDlib_KMT2D_979	KMT2D	508.6853229990952	314.4941519208594	368.387427551201	311.6301130380164	444.6068813194534	280.6647132846948
EpiKDlib_RAG2_1524	RAG2	236.02998987158017	265.84937302662576	324.512071011395	279.7588514773102	265.05410232505875	288.0506267921868
EpiKDlib_JAK2_863	JAK2	212.96958856228787	225.12351162680224	154.80550326308895	194.76882064876025	198.79057674379408	157.56615482649534
EpiKDlib_SFMBT2_1705	SFMBT2	496.47687524711694	268.11192088217155	419.71331633361547	332.8776207451539	381.19339984921083	297.89851146884274
EpiKDlib_PRDM12_1412	PRDM12	189.90918725299554	173.08491094924997	130.79823270357247	163.78287190918476	232.2785950483042	251.12105925472693
EpiKDlib_NO-TARGET_1224	NO-TARGET	408.98299969127254	447.98447539805875	341.8966462441483	385.11107719186685	448.1694364582311	408.6872140812223
EpiKDlib_GSE1_692	GSE1	193.30042273965617	175.3474588047957	183.77979531767778	152.27380523448528	159.6024702172397	100.94081793572357
EpiKDlib_GATAD2A_676	GATAD2A	261.12513247286887	332.59453476522543	222.68813036241136	227.5253950305972	272.1792126026141	243.73514574723498
EpiKDlib_PRMT9_1496	PRMT9	422.5479416379151	217.20459413239212	395.70604577409904	249.6582155588654	278.5918118524139	145.25629898067538
EpiKDlib_NEK6_1173	NEK6	303.17645250746074	372.1891222372761	277.3253668082075	508.1695593290381	267.1916354083254	384.0675023895824
EpiKDlib_HMG20A_774	HMG20A	162.77930335971047	175.3474588047957	106.79096214405601	187.68631807971443	114.71427546864102	209.26754937893912
EpiKDlib_KDM4D_936	KDM4D	377.1053861166626	400.47097043159795	304.6439850311055	377.1432618016903	389.03102115452174	342.21399251379455
EpiKDlib_SIRT2_1722	SIRT2	332.3410776927422	261.3242773155343	232.6221733525561	224.86945656720502	306.37974193487975	283.1266844538588
EpiKDlib_KMT2E_983	KMT2E	86.13738136118012	32.80694390541339	75.33315934193098	46.921579519928606	123.26440780170743	56.62533689077176
EpiKDlib_PRR14_1503	PRR14	326.23685381675307	337.11963047631696	272.3583453131351	330.2216822817617	258.641503075259	352.0618771904505
EpiKDlib_JARID2_866	JARID2	347.94076093138113	309.9690562097679	360.109058392747	340.84543613533043	411.8313740426988	430.84495460369817
EpiKDlib_BRCC3_217	BRCC3	408.3047525939404	221.7296898434836	311.26668035786867	173.52131294162277	384.043443960233	194.49572236395517
EpiKDlib_PAK2_1283	PAK2	309.2806763834499	360.8763829595473	239.24486867931927	275.33228737165655	275.74176774139175	396.3773582354023
EpiKDlib_SATB2_1633	SATB2	249.59493181822273	650.4825084694035	272.3583453131351	572.7973952715813	240.8287273813706	566.2533689077176
EpiKDlib_TFPT_1956	TFPT	224.49978921693403	119.91503634392481	243.38405325854626	152.27380523448528	265.05410232505875	140.3323566423474
EpiKDlib_APOBEC3F_78	APOBEC3F	351.33199641804174	288.47485158208326	294.70994204096075	439.1151592808413	431.7816828198538	344.6759636829585
EpiKDlib_PRKAA1_1446	PRKAA1	317.4196415514354	322.41306941526955	345.2079939075299	422.2942156793574	319.9174514622349	430.84495460369817
EpiKDlib_KDM5B_945	KDM5B	449.6778255312002	358.61383510400157	375.83795979380955	282.41478994070235	361.2430910720559	243.73514574723498
EpiKDlib_HLCS_768	HLCS	442.89535455787893	403.8647922149166	386.59983969979965	547.1233234587902	519.4205392337846	425.9210122653702
EpiKDlib_TP53BP1_1992	TP53BP1	596.1791985549396	495.4979803645195	618.3941761365104	592.2742773364573	617.7470610640482	770.5969759483288
EpiKDlib_TLK2_1972	TLK2	415.0872235672617	414.04625756487246	406.46792568008914	532.0730054995678	393.3060873210549	280.6647132846948
EpiKDlib_HMG20B_779	HMG20B	244.84720213689783	141.40924097160945	248.35107475361863	112.43472828360251	346.28035948918966	243.73514574723498
EpiKDlib_CBX8_298	CBX8	364.2186912673522	349.5636436818186	346.86366773922066	404.58795925674286	371.9307564883889	406.22524291205826
